ligandid,Canonical_Smiles
Formononetin 7-O-glucoside-6''-O-malonate,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O
Formononetin 7-O-glucoside-6''-O-malonate,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O
Formononetin 7-O-glucoside-6''-O-malonate,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O
Formononetin 7-O-glucoside-6''-O-malonate,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O
Formononetin 7-O-glucoside-6''-O-malonate,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O
Formylpyruvate,C(C=O)C(=O)C(=O)O
FR 900098,CC(=O)N(CCCP(=O)(O)O)O
Fraxin,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O
Fraxin,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O
Furocoumarinic acid glucoside,C1=COC2=CC(=C(C=C21)C=CC(=O)O)OC3C(C(C(C(O3)CO)O)O)O
Fusarenone X,CC1=CC2C(C(C1=O)O)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)CO
Ganglioside GT3 (d18:0/25:0),CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)OC3(CC(C(C(O3)C(C(CO)OC4(CC(C(C(O4)C(C(CO)OC5(CC(C(C(O5)C(C(CO)O)O)NC(=O)C)O)C(=O)O)O)NC(=O)C)O)C(=O)O)O)NC(=O)C)O)C(=O)O)O)O)O)C(CCCCCCCCCCCCCCC)O
Garcimangosone D,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O
Glucoconvallatoxoloside,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)CO)O)O)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)O)O)O)O
Glycinoeclepin B,CC(CC(C=C(C)C(=O)O)O)C1(CC=C2C1(C(CC(=C2C(=O)O)CC34CCC(O3)C(C4=O)(C)C)OC(=O)C)C)C
glycochenodeoxycholic acid 7-sulfate,CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)OS(=O)(=O)O)C
Goyaglycoside g,CC(CC=CC(C)(C)OC1C(C(C(C(O1)CO)O)O)O)C2CCC3(C2(CCC45C3C=CC6(C4CCC(C6(C)C)OC7C(C(C(C(O7)CO)O)O)O)OC5OC)C)C
Graecunin E,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)COC8C(C(C(C(O8)C)O)O)OC9C(C(C(C(O9)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O)O)C)C)C)OC1
Hebevinoside VIII,CC(CCC=C(C)C)C1C(CC2(C1(CCC3(C2C(C=C4C3CCC(C4(C)C)OC5C(C(C(CO5)OC(=O)C)O)O)O)C)C)C)OC6C(C(C(C(O6)COC(=O)C)OC(=O)C)O)O
Hebevinoside VIII,CC(CCC=C(C)C)C1C(CC2(C1(CCC3(C2C(C=C4C3CCC(C4(C)C)OC5C(C(C(CO5)OC(=O)C)O)O)O)C)C)C)OC6C(C(C(C(O6)COC(=O)C)OC(=O)C)O)O
Helianthoside A,CC1C(C(C(C(O1)OC2C(C(OC(C2O)OC3C(OC(C(C3O)O)OC4CCC5(C(C4(C)C)CCC6(C5CC=C7C6(CC(C8(C7CC(CC8)(C)C)C(=O)O)O)C)C)C)COC9C(C(C(CO9)O)O)O)C)O)O)O)O
Hovenidulcioside B1,CC1CC(OC1=O)CC(C(C)C2CCC3C4(CCC(C(C4CCC3(C25CC(=O)OC5)C)(C)C)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)C)O)O)O)C)OC(=O)C
Ilicifolinoside A,CC(=CCO)COC1C(C(C(C(O1)CO)O)O)O
Isochorismate,C=C(C(=O)O)OC1C=CC=C(C1O)C(=O)O
Isomaltose,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
Isotectorigenin 4'-glucoside 7-rhamnoside,CC1C(C(C(C(O1)OC2=C(C3=C(C(=C2)O)C(=O)C(=CO3)C4=CC=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)O)O)O
Jaceidin,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC)O
Kaempferol 3-O-sinapoyl-caffeoyl-sophoroside 7-O-glucoside,COC1=CC(=CC(=C1O)OC)C=CC(=O)OCC2C(C(C(C(O2)OC3C(C(C(OC3OC4=C(OC5=CC(=CC(=C5C4=O)O)OC6C(C(C(C(O6)CO)O)O)O)C7=CC=C(C=C7)O)COC(=O)C=CC8=CC(=C(C=C8)O)O)O)O)O)O)O
Kaempferol 3-O-_-D-glucosyl-(1-2)-_-D-glucosyl-(1-2)-_-D-glucoside,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)[O-])OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O
Kanokoside A,CC(C)CC(=O)OC1C2C(C3C(C2(CO)O)O3)C(=CO1)COC4C(C(C(C(O4)CO)O)O)O
"L-Fucono-1,5-lactone",CC1C(C(C(C(=O)O1)O)O)O
L-trans-5-Hydroxy-2-piperidinecarboxylic acid,C1CC(NCC1O)C(=O)O
L-Xylonate,C(C(C(C(C(=O)[O-])O)O)O)O
Lablaboside A,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)C)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O
Lamiide,CC1(C(CC2(C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O)O)O
Larixinic Acid,CC1=C(C(=O)C=CO1)O
Lauryl hydrogen sulfate,
Linalool oxide D 3-[apiosyl-(1-6)-glucoside],CC1(C(CCC(O1)(C)C=C)OC2C(C(C(C(O2)COC3C(C(CO3)(CO)O)O)O)O)O)C
Lucuminic acid,C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC(C3=CC=CC=C3)C(=O)O)O)O)O)O)O)O
Matesaponin 4,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)C2C1C)C)C(=O)OC9C(C(C(C(O9)COC1C(C(C(C(O1)CO)O)O)O)O)O)O
Matesaponin 4,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)C2C1C)C)C(=O)OC9C(C(C(C(O9)COC1C(C(C(C(O1)CO)O)O)O)O)O)O
Medicagenic acid 3-O-[b-D-glucosyl-(1-2)-b-D-glucoside] 28-O-[b-D-xylosyl-(1-4)-a-L-rhamnosyl-(1-2)-a-L-arabinosyl] ester,CC1OC(OC2C(O)C(O)COC2OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C5CCC4(C)C2(C)CC3)C(O)=O)C(O)C(O)C1OC1OCC(O)C(O)C1O
Melilotussaponin O1,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)OC9C(C(C(CO9)O)O)O)O)O)O
Melilotussaponin O1,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)OC9C(C(C(CO9)O)O)O)O)O)O
Melilotussaponin O1,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)OC9C(C(C(CO9)O)O)O)O)O)O
"Methyl (3b,11x)-3-Hydroxy-8-oxo-6-eremophilen-12-oate",CC1C(CCC2C1(C=C(C(=O)C2)C(C)C(=O)OC)C)O
Methyl oxalate,COC(=O)C(=O)OC
Momordin IIa,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC7C(C(C(CO7)O)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
Morroniside,CC1C2C(CC(O1)O)C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)OC
Morroniside,CC1C2C(CC(O1)O)C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)OC
Myxothiazol A,CC(C)C=CC=CC(C)C1=NC(=CS1)C2=NC(=CS2)C=CC(C(C)C(=CC(=O)N)OC)OC
N-(2-Methoxyphenyl)-N'-(2-naphtyl)urea,COC1=CC=CC=C1NC(=O)NC2=CC3=CC=CC=C3C=C2
Neurokinin A,CC(C)CC(C(=O)NC(CCSC)C(=O)N)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(C(C)O)NC(=O)C(CCCCN)NC(=O)C(CC2=CN=CN2)N
O-Feruloylgalactarate,COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(C(C(=O)O)O)O)O)C(=O)O)O
Oleoside dimethyl ester,CC=C1C(C(=COC1OC2C(C(C(C(O2)CO)O)O)O)C(=O)OC)CC(=O)OC
Oxaloglutarate,C(CC(=O)O)C(C(=O)C(=O)O)C(=O)O
Oxaloglutarate,C(CC(=O)O)C(C(=O)C(=O)O)C(=O)O
p-Coumaroyl quinic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC=C(C=C2)O)O)O
p-Coumaroyl quinic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC=C(C=C2)O)O)O
p-Coumaroyl quinic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC=C(C=C2)O)O)O
p-Coumaroyl quinic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC=C(C=C2)O)O)O
p-Coumaroyl-D-glucose,C1=CC(=CC=C1C=CC(=O)C(=O)C(C(C(C(CO)O)O)O)O)O
Phrymarolin I,CC(=O)OC12COC(C1COC2OC3=C(C=C4C(=C3)OCO4)OC)C5=CC6=C(C=C5OC)OCO6
Phrymarolin I,CC(=O)OC12COC(C1COC2OC3=C(C=C4C(=C3)OCO4)OC)C5=CC6=C(C=C5OC)OCO6
Phrymarolin I,CC(=O)OC12COC(C1COC2OC3=C(C=C4C(=C3)OCO4)OC)C5=CC6=C(C=C5OC)OCO6
Phrymarolin I,CC(=O)OC12COC(C1COC2OC3=C(C=C4C(=C3)OCO4)OC)C5=CC6=C(C=C5OC)OCO6
Phytolaccoside A,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)O)C(=O)OC
Pimelea factor P2,CC1CCCCCCCC23OC4C5C6C(O6)(C(C7(C(C1C(C7OC(=O)C8=CC=CC=C8)C)C5(O2)C(CC4(O3)C(=C)C)C)O)O)CO
Pisumsaponin II,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)C=O)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O
Pitheduloside B,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)COC7C(C(C(CO7)O)O)OC8C(C(C(CO8)O)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C
Pitheduloside F,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)COC7C(C(C(CO7)O)O)OC8C(C(C(CO8)O)O)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C2C1)C)C(=O)O)C
Pitheduloside F,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)COC7C(C(C(CO7)O)O)OC8C(C(C(CO8)O)O)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C2C1)C)C(=O)O)C
Plumieride,CC(C1=CC2(C=CC3C2C(OC=C3C(=O)OC)OC4C(C(C(C(O4)CO)O)O)O)OC1=O)O
Plumieride,CC(C1=CC2(C=CC3C2C(OC=C3C(=O)OC)OC4C(C(C(C(O4)CO)O)O)O)OC1=O)O
Polygalacin D,CC1C(C(C(C(O1)OC2C(C(COC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4O)C)(CCC7C6(CC(C(C7(C)CO)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)OC9C(C(C(CO9)O)OC1C(C(CO1)(CO)O)O)O
Primulasaponin,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(OC(C3OC4C(C(C(C(O4)CO)O)O)O)OC5CCC6(C(C5(C)C)CCC7(C6CCC89C7(CC(C1(C8CC(CC1)(C)C)CO9)O)C)C)C)C(=O)O)O)CO)O)O)O)O)O
Prochlorperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
Prupaside,COC1=CC(=CC(=C1O)OC)CC2COC(C2COC3C(C(C(CO3)O)O)O)C4=CC(=C(C(=C4)OC)O)OC
Puerarin xyloside,C1C(C(C(C(O1)OC2=C(C3=C(C=C2)C(=O)C(=CO3)C4=CC=C(C=C4)O)C5C(C(C(C(O5)CO)O)O)O)O)O)O
Puerarin xyloside,C1C(C(C(C(O1)OC2=C(C3=C(C=C2)C(=O)C(=CO3)C4=CC=C(C=C4)O)C5C(C(C(C(O5)CO)O)O)O)O)O)O
Quassimarin,CCC(C)(C(=O)OC1C2C3(C(C(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)C)OC(=O)C
Quercetin-3-glucoside,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O
Quercetin-3-O-_-L-rhamnopyranosyl _-pyranoside,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)CO)O)O)O)O)O
Quinic acid,C1C(C(C(CC1(C(=O)O)O)O)O)O
Quinic acid,C1C(C(C(CC1(C(=O)O)O)O)O)O
Quinic acid,C1C(C(C(CC1(C(=O)O)O)O)O)O
Quinic acid,C1C(C(C(CC1(C(=O)O)O)O)O)O
Rehmaionoside B,CC(C=CC1(C(CCCC1(C)OC2C(C(C(C(O2)CO)O)O)O)(C)C)O)O
Rehmaionoside B,CC(C=CC1(C(CCCC1(C)OC2C(C(C(C(O2)CO)O)O)O)(C)C)O)O
Rehmaionoside B,CC(C=CC1(C(CCCC1(C)OC2C(C(C(C(O2)CO)O)O)O)(C)C)O)O
Rhodojaponin IV,CC(=O)OC1CC23CC(C(C2OC(=O)C)CCC3C(C4C1(C(C(C4)O)(C)C)O)(C)O)(C)O
Rhodojaponin IV,CC(=O)OC1CC23CC(C(C2OC(=O)C)CCC3C(C4C1(C(C(C4)O)(C)C)O)(C)O)(C)O
Rinderine,CC(C)C(C(C)O)(C(=O)OCC1=CCN2C1C(CC2)O)O
S-Methyl GSH,CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
Saikosaponin A,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O
Saikosaponin A,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O
Saikosaponin BK1,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3CCC4(C(C3(C)C)CCC5(C4C=CC6=C7CC(CCC7(C(CC65C)O)CO)(C)C)C)C)COC8C(C(C(C(O8)CO)O)O)O)O)O)O
Saikosaponin BK1,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3CCC4(C(C3(C)C)CCC5(C4C=CC6=C7CC(CCC7(C(CC65C)O)CO)(C)C)C)C)COC8C(C(C(C(O8)CO)O)O)O)O)O)O
Saikosaponin BK1,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3CCC4(C(C3(C)C)CCC5(C4C=CC6=C7CC(CCC7(C(CC65C)O)CO)(C)C)C)C)COC8C(C(C(C(O8)CO)O)O)O)O)O)O
Saikosaponin BK1,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3CCC4(C(C3(C)C)CCC5(C4C=CC6=C7CC(CCC7(C(CC65C)O)CO)(C)C)C)C)COC8C(C(C(C(O8)CO)O)O)O)O)O)O
Sambacin,CC=C1C(OC=C2C1=CC(=O)OCC3C(C(CC3C(C)CO)OC2=O)C)OC4C(C(C(C(O4)CO)O)O)O
Sambacin,CC=C1C(OC=C2C1=CC(=O)OCC3C(C(CC3C(C)CO)OC2=O)C)OC4C(C(C(C(O4)CO)O)O)O
Sanguisorbin E,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)O)C)C)C2C1C)C)C(=O)OC7C(C(C(C(O7)CO)O)OC(=O)C)O
Sapindoside A,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O
Scopolin,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O
sec-o-Glucosylhamaudol,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC(C(C3)OC4C(C(C(C(O4)CO)O)O)O)(C)C)O
Sesamolinol 4'-O-b-D-glucosyl (1-6)-O-b-D-glucoside,COC1=C(C=CC(=C1)OC2C3COC(C3CO2)C4=CC5=C(C=C4)OCO5)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)O)O
Shikimic acid,C1C(C(C(C=C1C(=O)O)O)O)O
Soyasapogenol B 3-O-[a-L-rhamnosyl-(1-4)-b-D-galactosyl-(1-4)-b-D-glucuronide],CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CC(O)C7(C)CCC65C)C4(C)CO)OC3C(O)=O)OC2CO)C(O)C(O)C1O
Soyasapogenol B 3-O-[a-L-rhamnosyl-(1-4)-b-D-galactosyl-(1-4)-b-D-glucuronide],CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CC(O)C7(C)CCC65C)C4(C)CO)OC3C(O)=O)OC2CO)C(O)C(O)C1O
Soyasaponin I,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O
Soyasaponin I,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O
Soyasaponin III,CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(C1)O)C)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C
Soyasaponin III,CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(C1)O)C)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C
Sweroside,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)O
Tetradecyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)[O-]
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
Tragopogonsaponin Q,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C(=O)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)O)O)OC(=O)C=CC8=CC=C(C=C8)OC9C(C(C(C(O9)CO)O)O)O)C
Tragopogonsaponin Q,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C(=O)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)O)O)OC(=O)C=CC8=CC=C(C=C8)OC9C(C(C(C(O9)CO)O)O)O)C
Tragopogonsaponin R,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C(=O)OC7C(C(C(CO7)O)OC8C(C(C(C(O8)CO)O)O)O)OC(=O)CCC9=CC(=C(C=C9)OC1C(C(C(C(O1)CO)O)O)O)OC)C
Tsangane L 3-glucoside,CC1=C(C(CC(C1)OC2C(C(C(C(O2)CO)O)O)O)(C)C)CCC(C)O
Vat Yellow 4,C1=CC=C2C(=C1)C3=C4C(=CC=C5C4=C(C=C3)C(=O)C6=CC=CC=C65)C2=O
Veranisatin C,CC1CC(C2(C13CC(C(C24COC4=O)(C(=O)OC)O)OC(=O)C3O)O)O
Veranisatin C,CC1CC(C2(C13CC(C(C24COC4=O)(C(=O)OC)O)OC(=O)C3O)O)O
Verbenalin,CC1CC(=O)C2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O
Xylobiose,C1C(C(C(C(O1)OC2COC(C(C2O)O)O)O)O)O
